Date;NumFixed
2005 Jun;0
2005 Jul;0
2005 Aug;0
2005 Sep;0
2005 Oct;0
2005 Nov;0
2005 Dec;0
2006 Jan;7
2006 Feb;8
2006 Mar;7
2006 Apr;2
2006 May;2
2006 Jun;10
2006 Jul;8
2006 Aug;5
2006 Sep;1
2006 Oct;1
2006 Nov;2
2006 Dec;1
2007 Jan;7
2007 Feb;4
2007 Mar;20
2007 Apr;13
2007 May;12
2007 Jun;21
2007 Jul;15
2007 Aug;15
2007 Sep;37
2007 Oct;41
2007 Nov;19
2007 Dec;17
2008 Jan;11
2008 Feb;20
2008 Mar;41
2008 Apr;66
2008 May;5
2008 Jun;22
2008 Jul;8
2008 Aug;24
2008 Sep;0
2008 Oct;8
2008 Nov;5
2008 Dec;3
2009 Jan;0
2009 Feb;0
2009 Mar;0
2009 Apr;1
2009 May;3
2009 Jun;0
2009 Jul;0
2009 Aug;2
2009 Sep;3
2009 Oct;0
2009 Nov;0
2009 Dec;0
2010 Jan;0
2010 Feb;0
2010 Mar;0
2010 Apr;0
2010 May;0
2010 Jun;0
2010 Jul;0
2010 Aug;0
2010 Sep;0
2010 Oct;0
2010 Nov;0
2010 Dec;0
2011 Jan;0
2011 Feb;0
2011 Mar;0
2011 Apr;0
2011 May;0
2011 Jun;0
2011 Jul;0
2011 Aug;0
2011 Sep;0
2011 Oct;0
2011 Nov;0
2011 Dec;0
2012 Jan;4
2012 Feb;0
2012 Mar;0
2012 Apr;0
2012 May;0
2012 Jun;2
2012 Jun;0
